# position start inclusive, end exclusive
# 0-based coordinate
True Gene,True Gene,True Gene,True Gene,True Gene,Pseudo Gene,Pseudo Gene,Pseudo Gene,Pseudo Gene,Pseudo Gene,Remark,Remark,Remark
GBA,GBA,GBA,GBA,GBA,GBAP1,GBAP1,GBAP1,GBAP1,GBAP1,Remark,Remark,Remark
Region,Chrom,Start,End,Length,Region,Chrom,Start,End,Length,Exclusion,Type,Identity
5'UTR,1,155244505,155244545,40,Exon 1,1,155227381,155227421,40,155244537C>T,sub,76.00%
exon 5,1,155238516,155238650,134,Exon 4,1,155217239,155217373,134,155238630T>C,sub,99.25%
exon 7,1,155237340,155237578,238,Exon 6,1,155216383,155216621,238,155237412G>A; 155237409T>C,sub,99.16%
exon 8,1,155236443,155236469,26,Exon 7,1,155215761,155215787,26,,,100.00%
exon 8,1,155236245,155236333,88,Exon 8,1,155215563,155215651,88,,,98.86%
exon 9,1,155235805,155235844,39,Exon 9,1,155215123,155215162,39,,,100.00%
exon 9,1,155235680,155235750,70,Exon 9,1,155215053,155215123,70,155235727C>G,sub,98.57%
exon 10,1,155235194,155235311,117,Exon 10,1,155214567,155214684,117,155235252C?T,sub?,99.15%
exon 11,1,155234451,155235100,649,Exon 11,1,155213824,155214473,649,,,100.00%
